n,t,S_L2,S_core,peak,umin,mass_u,peak_v,mass_v,xc,yc,R_0_5,R_0_8
128,0.00011027568922305766,998.0446566264701,998.0407512964431,56387.77695339378,7.725596372273678e-15,31.41592653026709,413.60129336602535,31.41563933974789,1.1984497415645988e-17,0.0,0.01235264711003272,0.016572815184059717
128,0.00011077694235588974,1001.8150201836032,1001.8112831894769,56674.47951956377,7.784039399829262e-15,31.415926530267093,413.58381036500947,31.415639339891843,1.201719572410193e-17,0.0,0.01235264711003272,0.016572815184059717
128,0.00011127819548872182,1005.5560782987594,1005.5525017835754,56958.975256960286,7.842857518223226e-15,31.415926530267086,413.5663403113404,31.4156393400358,1.2568694340497262e-17,0.0,0.01235264711003272,0.016572815184059717
128,0.0001117794486215539,1009.2678056945216,1009.2643821908289,57241.25902028329,7.902052966728895e-15,31.41592653026709,413.54888194302885,31.415639340179755,1.3017351628632109e-17,0.0,0.012352647110032719,0.016572815184059717
128,0.00011228070175438598,1012.9501836114792,1012.9469060211328,57521.326310267876,7.961627996736084e-15,31.415926530267093,413.5314340120884,31.415639340323708,1.3282941915584238e-17,0.0,0.012352647110032719,0.016572815184059717
128,0.00011278195488721806,1016.6031997111239,1016.6000612861665,57799.173262724704,8.021584871814497e-15,31.41592653026709,413.513995284728,31.415639340467663,1.3506246431772985e-17,0.0,0.012352647110032719,0.016572815184059717
128,0.00011328320802005014,1020.2268479778032,1020.2238423023696,58074.796637488005,8.081925867777406e-15,31.415926530267082,413.49656454153325,31.41563934061162,1.4065858129086155e-17,0.0,0.012352647110032719,0.016572815184059717
128,0.00011378446115288222,1023.8211286197761,1023.8182495929642,58348.1938072801,8.142653272745593e-15,31.41592653026709,413.4791405776374,31.415639340755575,1.452832744160799e-17,0.0,0.012352647110032719,0.016572815184059717
128,0.0001142857142857143,1027.3860479694101,1027.3832897890663,58619.36274650096,8.203769387211576e-15,31.415926530267086,413.4617222028821,31.415639340899528,1.4628561294709826e-17,0.0,0.012352647110032719,0.016572815184059717
128,0.00011478696741854638,1030.9216183825604,1030.9189755299285,58888.30201995139,8.265276524104098e-15,31.41592653026709,413.4443082419675,31.415639341043484,1.53126990968778e-17,0.0,0.012352647110032717,0.01657281518405972
128,0.00011528822055137847,1034.4278581371773,1034.4253253623663,59155.01077149816,8.327177008852914e-15,31.41592653026709,413.4268975345927,31.415639341187436,1.5481049755544867e-17,0.0,0.012352647110032717,0.01657281518405972
128,0.00011578947368421055,1037.9047913311845,1037.9023636394058,59419.4887126894,8.38947317945383e-15,31.41592653026709,413.40948893558556,31.415639341331396,1.557978604378313e-17,0.0,0.012352647110032717,0.01657281518405972
128,0.00011629072681704263,1041.3524477796718,1041.3501204182107,59681.736111328515,8.452167386534052e-15,31.41592653026709,413.3920813150234,31.415639341475348,1.601205158720602e-17,0.0,0.012352647110032717,0.01657281518405972
128,0.0001167919799498747,1044.7708629114516,1044.7686313573263,59941.7537800143,8.51526199341779e-15,31.415926530267082,413.3746735583436,31.4156393416193,1.6211640040327515e-17,0.0,0.012352647110032717,0.01657281518405972
128,0.00011729323308270678,1048.160077665024,1048.1579376132993,60199.543064655474,8.578759376192164e-15,31.41592653026709,413.3572645664447,31.415639341763253,1.6022524013944577e-17,0.0,0.012352647110032717,0.01657281518405972
128,0.00011779448621553886,1051.5201383839963,1051.517983780558,60455.10583296709,8.64266192377339e-15,31.415926530267093,413.33985325577845,31.415639341907205,1.7534948664465437e-17,0.0,0.012352647110032715,0.016572815184059696
128,0.00011829573934837094,1054.8510967120121,1054.8490299386037,60708.44446295662,8.706972037973242e-15,31.415926530267082,413.3224385584323,31.41563934205116,1.7194085242570294e-17,0.0,0.012352647110032715,0.016572815184059696
128,0.00011879699248120302,1058.1530094872312,1058.1510266293446,60959.56183140689,8.771692133565818e-15,31.415926530267086,413.30501942220326,31.415639342195117,1.7525660982699554e-17,0.0,0.012352647110032715,0.016572815184059696
128,0.0001192982456140351,1061.425938636417,1061.4240359665314,61208.46130236344,8.836824638354584e-15,31.415926530267086,413.2875948106626,31.41563934233907,1.7952703144730894e-17,0.0,0.012352647110032715,0.016572815184059696
128,0.00011979949874686718,1064.6699510686767,1064.668125036832,61455.146715633135,8.90237199323971e-15,31.415926530267082,413.27016370321206,31.415639342483026,1.8321714196580603e-17,0.0,0.012352647110032713,0.016572815184059696
128,0.00012,1065.9554412882667,1065.953644766585,61552.936979500395,8.92875785685811e-15,31.415926530267093,413.2631882599798,31.415639342540608,1.836744423528812e-17,0.0,0.012352647110032713,0.016572815184059696
128,0.00012030075187969926,1067.877076355407,1067.8753232118477,61699.09339183271,8.96843739743558e-15,31.41592653026709,413.2527230576676,31.415639342626978,1.833824284163604e-17,0.0,0.012352647110032713,0.016572815184059696
128,0.00012080200501253135,1071.063530522523,1071.0618474312166,61941.3660382097,9.034822423282682e-15,31.41592653026709,413.23527572677733,31.415639342770938,1.8832257286677173e-17,0.0,0.012352647110032713,0.016572815184059696
