seed,method,m,group,is_late,amplitude,local_eff,E_m,local_L2
2,weighted_ess_resample,13,3,1,1.0,269.65158521909547,0.019906693773557693,0.4921714983110383
2,weighted_ess_resample,14,2,0,1.0,1018.9999999999594,0.31814191096730604,0.4344479215710801
2,weighted_ess_resample,15,3,1,1.0,210.7117739941536,0.1850343121300554,0.38691171842077465
2,weighted_ess_resample_costmatched,0,0,0,1.0,538.9999999999999,0.05008980396746819,0.31220324645531605
2,weighted_ess_resample_costmatched,1,1,0,1.0,723.9999999999998,0.13095014794036824,0.2959931856834151
2,weighted_ess_resample_costmatched,2,0,0,1.0,593.0,0.15529360622023852,0.30666670813947794
2,weighted_ess_resample_costmatched,3,1,0,1.0,591.0,0.076807268739285,0.2559592407775904
2,weighted_ess_resample_costmatched,4,2,0,1.0,1266.999999999985,0.029815392166342297,0.22682574779800405
2,weighted_ess_resample_costmatched,5,3,1,1.0,433.32963086647175,0.09485125153135389,0.3088556068326534
2,weighted_ess_resample_costmatched,6,2,0,1.0,1115.9999999999854,0.09291714822023975,0.18224820967303582
2,weighted_ess_resample_costmatched,7,3,1,1.0,406.7494441044392,0.16585331151123794,0.4642226488912299
2,weighted_ess_resample_costmatched,8,0,0,1.0,566.9999999999998,0.10463992365408949,0.3196921725257787
2,weighted_ess_resample_costmatched,9,1,0,1.0,617.0,0.036193036907171905,0.2465248525133141
2,weighted_ess_resample_costmatched,10,0,0,1.0,449.99999999999994,0.12330164789357949,0.2728215167639204
2,weighted_ess_resample_costmatched,11,1,0,1.0,659.0000000000001,0.02941456836008713,0.2568029834665416
2,weighted_ess_resample_costmatched,12,2,0,1.0,1493.9999999999804,0.21432059126879016,0.27106680518229354
2,weighted_ess_resample_costmatched,13,3,1,1.0,409.8114788464119,0.12963669245109283,0.4175158055066726
2,weighted_ess_resample_costmatched,14,2,0,1.0,1496.9999999999823,0.2167590018896131,0.30321406694882475
2,weighted_ess_resample_costmatched,15,3,1,1.0,426.40419399833314,0.07854982609938346,0.3941158519539387
3,minvar_branch,0,0,0,1.0,422.0,0.43949932953436216,0.48393642793534764
3,minvar_branch,1,1,0,1.0,766.0,0.18424513186658673,0.2741522635445515
3,minvar_branch,2,0,0,1.0,631.0,0.161905395583371,0.2908232616746027
3,minvar_branch,3,1,0,1.0,1164.0,0.23960661423928595,0.3283020195140151
3,minvar_branch,4,2,0,1.0,1643.0,0.08957095932780314,0.18084439525295484
3,minvar_branch,5,3,1,1.0,2240.0,0.13279749256164572,0.2797987435654874
3,minvar_branch,6,2,0,1.0,2059.0,0.14094546241269207,0.23175153293104178
