seed,method,m,amplitude,local_eff,E_m
5,minvar_branch,1,1.176776695296637,81786.0,0.43290050859634654
5,minvar_branch,2,1.2309698831278217,279558.0,0.2501419242952391
5,minvar_branch,3,1.25,312639.0,0.19789913474140056
5,minvar_branch,4,1.2309698831278217,151045.0,0.3245491563282973
5,minvar_branch,5,1.176776695296637,128239.0,0.11079803782911445
5,minvar_branch,6,1.0956708580912724,79955.0,0.06435204055437838
5,minvar_branch,7,1.0,39922.0,0.13881480911690616
5,minvar_branch,8,0.9043291419087276,19610.0,0.18819726777181736
5,minvar_branch,9,0.8232233047033631,6636.0,0.24444805976008852
5,minvar_branch,10,0.7690301168721784,7074.0,0.22211863181321875
5,minvar_branch,11,0.75,5592.0,0.11738959864467874
5,minvar_branch,12,0.7690301168721784,6540.0,0.12986370540830633
5,minvar_branch,13,0.823223304703363,9304.0,0.05932116515870074
5,minvar_branch,14,0.9043291419087274,15557.0,0.05737965860649377
5,minvar_branch,15,0.9999999999999999,40545.0,0.15658650457497394
5,poisson_branch,0,1.0956708580912724,83522.0,0.11183554663478358
5,poisson_branch,1,1.176776695296637,66625.0,0.5380260238333161
5,poisson_branch,2,1.2309698831278217,230242.0,0.029608084667884418
5,poisson_branch,3,1.25,189849.0,0.27257970748524607
5,poisson_branch,4,1.2309698831278217,206158.0,0.07809199225614297
5,poisson_branch,5,1.176776695296637,133181.0,0.0765304897583363
5,poisson_branch,6,1.0956708580912724,86022.0,0.14511526774521594
5,poisson_branch,7,1.0,35160.0,0.002974016546025381
5,poisson_branch,8,0.9043291419087276,19359.0,0.172988827475503
5,poisson_branch,9,0.8232233047033631,10400.0,0.18410792322107886
5,poisson_branch,10,0.7690301168721784,5001.0,0.13601706563501448
5,poisson_branch,11,0.75,3780.0,0.24468299662430515
5,poisson_branch,12,0.7690301168721784,6740.0,0.16441611230152667
5,poisson_branch,13,0.823223304703363,8954.0,0.019471379281062615
5,poisson_branch,14,0.9043291419087274,15500.0,0.060833368155856084
5,poisson_branch,15,0.9999999999999999,30456.0,0.13121226826155125
6,weighted,0,1.0956708580912724,17.900134349281082,0.03849254273954972
6,weighted,1,1.176776695296637,16.46735279070806,0.3129676156134261
6,weighted,2,1.2309698831278217,11.270566269641776,0.15875356746497724
6,weighted,3,1.25,15.64128409825185,0.023740651555955467
6,weighted,4,1.2309698831278217,17.153244520372375,0.43991210556597726
6,weighted,5,1.176776695296637,17.846770173468556,0.2650981588262917
6,weighted,6,1.0956708580912724,20.644539889884083,0.4464218006725562
6,weighted,7,1.0,20.391239533745424,0.31814342791675343
6,weighted,8,0.9043291419087276,26.546444383625293,0.3973061513233632
6,weighted,9,0.8232233047033631,23.728273530474972,0.10382520290159068
6,weighted,10,0.7690301168721784,28.55301143315953,0.24616593856427937
6,weighted,11,0.75,21.9959312689718,0.06948124697183174
6,weighted,12,0.7690301168721784,27.920683834714186,0.15909541560831333
6,weighted,13,0.823223304703363,20.89492635166729,0.10827725685218927
6,weighted,14,0.9043291419087274,19.459873388436293,0.3680352582757933
6,weighted,15,0.9999999999999999,12.18613712338442,0.1978916875833201
6,weighted_ess_resample,0,1.0956708580912724,961.6259987400994,0.09298199783338701
6,weighted_ess_resample,1,1.176776695296637,1302.8477466655331,0.09313799777751669
6,weighted_ess_resample,2,1.2309698831278217,1568.6153697437485,0.22247536063828835
6,weighted_ess_resample,3,1.25,1863.3848439952747,0.17233289228814552
6,weighted_ess_resample,4,1.2309698831278217,2368.112522718763,0.2035910658818157
6,weighted_ess_resample,5,1.176776695296637,1673.0276983932874,0.17500627798296967
6,weighted_ess_resample,6,1.0956708580912724,979.8624755368064,0.09616398472210914
6,weighted_ess_resample,7,1.0,635.6452285561857,0.26123733237032476
6,weighted_ess_resample,8,0.9043291419087276,428.64553061783465,0.49342085595195695
6,weighted_ess_resample,9,0.8232233047033631,169.33141266512368,0.10882042614559027
6,weighted_ess_resample,10,0.7690301168721784,154.17888867599478,0.1662873666787156
6,weighted_ess_resample,11,0.75,100.86935356893109,0.1717413304686824
6,weighted_ess_resample,12,0.7690301168721784,139.72375538932707,0.037674312087753244
6,weighted_ess_resample,13,0.823223304703363,189.2881954119115,0.03708929296443906
6,weighted_ess_resample,14,0.9043291419087274,187.5642154664882,0.36503561651530064
6,weighted_ess_resample,15,0.9999999999999999,415.1179075731752,0.1959862736384692
6,minvar_branch,0,1.0956708580912724,68257.0,0.09137043046562068
6,minvar_branch,1,1.176776695296637,107497.0,0.25462189094198834
6,minvar_branch,2,1.2309698831278217,175935.0,0.21324476691461913
6,minvar_branch,3,1.25,238914.0,0.08458358081491123
6,minvar_branch,4,1.2309698831278217,301284.0,0.34729737485375395
6,minvar_branch,5,1.176776695296637,171025.0,0.18587766264767894
6,minvar_branch,6,1.0956708580912724,65129.0,0.13301001751902816
6,minvar_branch,7,1.0,41750.0,0.1909603296586052
6,minvar_branch,8,0.9043291419087276,18957.0,0.14863108644315867
6,minvar_branch,9,0.8232233047033631,8211.0,0.0651240233107425
6,minvar_branch,10,0.7690301168721784,3944.0,0.31862653606568636
6,minvar_branch,11,0.75,4248.0,0.15116755811112384
6,minvar_branch,12,0.7690301168721784,5092.0,0.12029572049860923
6,minvar_branch,13,0.823223304703363,7539.0,0.1416356121956744
6,minvar_branch,14,0.9043291419087274,11671.0,0.29283782191916097
6,minvar_branch,15,0.9999999999999999,23962.0,0.31646008576580276
6,poisson_branch,0,1.0956708580912724,73089.0,0.027047385503344155
6,poisson_branch,1,1.176776695296637,129130.0,0.10461989429787776
6,poisson_branch,2,1.2309698831278217,208020.0,0.06976540434580425
6,poisson_branch,3,1.25,202305.0,0.22485363485086945
6,poisson_branch,4,1.2309698831278217,245050.0,0.09582726499884629
6,poisson_branch,5,1.176776695296637,156206.0,0.08312355603884425
